"AMPHETAMINES
(includes both amphetamine and methamphetamine)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,United Kingdom (Scotland),1.2,,,,,2011,16-64,Government source,HHS,,Data refers to 2010/11
,,United Kingdom (Scotland),1.2,,,,,2010,16-64,Government source ,HHS ,,Data refers to 2009/10
Oceania,Australia and New Zealand,Australia,1.3,,,1.8,0.8,2019,14+,ARQ,HHS,,Amphetamine and methamphetamine
,,Australia,1.4,,,1.8,1,2016,14+,ARQ,HHS,,Amphetamine and methamphetamine
,,Australia,2.1,,,2.7,1.5,2013,14+,Government source,HHS,z*,Methamphetamine
,,Australia,2.1,,,,,2010,14+,ARQ,HHS,,
,,Australia,2.7,,,,,2007,15-64,Government source ,HHS ,,
,,New Zealand,1,,,2,1,2020,18+,ARQ,HHS,,"Data refers to 2019-20. Amphetamine-type stimulants, including non-medical use of pharmaceutical amphetamine-type products, excluding ecstasy. "
,,New Zealand,0.8,,,1.1,0.5,2018,16-64,ARQ ,HHS ,,Data refers to 2017-18.
,,New Zealand,1,,,1.5,0.6,2017,16-64,Government source,HHS,,Data refers to 2016-17.
,,New Zealand,1.1,,,,,2016,16-64,ARQ,HHS,,Data refers to 2015-16.
,,New Zealand,1.1,0.8,1.4,1.5,0.7,2014,15-64,Government source,HHS,,2013/14 New Zealand Health Survey
,,New Zealand,2.1,,,,,2007,16-64,Government source,HHS,,
,,New Zealand,2.3,,,,,2006,15-64,ARQ ,HHS ,a ,
"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.

Where a country has reported a combined prevalence for amphetamines and other stimulants these have been reported under ""Amphetamines"" and a flag included to state if this includes prescription stimulants. Where a combined prevalence has not been reported by the Member State and the prescription stimulant prevalence is known, this has been reported under ""Prescription stimulants"". 

Method: HHS=Household survey, SS=School survey, A=Adjusted from other sources, I=Indirect estimates, R=Registry. 

UNODC Adjustments: a=adjusted for age (15-64), b=population-based/household-type study/survey, c=adjusted from a limited geographic population-based study/survey, d=adjusted from school/youth survey, e=adjusted from lifetime/monthly prevalence adjusted to annual prevalence, f=adjusted from specialized population surveys (including Rapid Assessments), g=adjusted from treatment data, h=adjusted from drug registries, i=adjusted from HIV, problematic drug users (only for heroin), j=lifetime prevalence reported, x=figure may include non-medical use of prescription opioids, z=figures may also include other non-ATS stimulants, z*= figures include the use of prescription stimulants, (non-prescription/non-therapeutic use),  z**= figures only include prescription stimulants. 

The 'Method' and 'Adjustment/notes' columns have been completed only for more recent data included in previous and present issues of the World Drug Report. ",,,,,,,,,,,,,
