Region,SubRegion,Country/Territory,Type of offence,Year,Drugs,Total,Males,Females,Unknown/Other/ Third/Intersex,Adults,Juveniles,Specify year
Americas,Caribbean,Bahamas,Offences related to drug use and/or drug possession,2018,Cannabis-type,838.0,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug use and/or drug possession,2018,Cocaine-type,41.0,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug use and/or drug possession,2018,Multiple Drugs,82.0,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug trafficking,2018,Cannabis-type,605.0,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug trafficking,2018,Cocaine-type,63.0,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug use and/or drug possession,2017,Cannabis-type,838.0,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug use and/or drug possession,2017,Cocaine-type,41.0,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug use and/or drug possession,2017,Multiple Drugs,82.0,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug trafficking,2017,All illicit drugs,605.0,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug trafficking,2017,Cannabis-type,63.0,,,,,,
Asia,South Asia,Bangladesh,Offences related to drug use and/or drug possession,2015,All illicit drugs,70581.0,,,,,,
Asia,South Asia,Bangladesh,Offences related to drug trafficking,2015,All illicit drugs,70581.0,,,,,,
Asia,South Asia,Bangladesh,Offences related to drug use and/or drug possession,2019,All illicit drugs,9484.0,,,,,,
Asia,South Asia,Bangladesh,Offences related to drug trafficking,2019,All illicit drugs,162847.0,,,,,,
Europe,Eastern Europe,Belarus,Offences related to drug use and/or drug possession,2016,All illicit drugs,2374.0,2234.0,140.0,,2242.0,132.0,
Europe,Eastern Europe,Belarus,Offences related to drug trafficking,2016,All illicit drugs,1082.0,847.0,235.0,,871.0,211.0,
Europe,Eastern Europe,Belarus,Offences related to drug use and/or drug possession,2017,All illicit drugs,1852.0,1736.0,116.0,,1804.0,48.0,
Europe,Eastern Europe,Belarus,Offences related to drug trafficking,2017,All illicit drugs,934.0,853.0,81.0,,889.0,45.0,
Europe,Eastern Europe,Belarus,Offences related to drug use and/or drug possession,2018,All illicit drugs,1652.0,1522.0,130.0,,1621.0,31.0,
Europe,Eastern Europe,Belarus,Offences related to drug trafficking,2018,All illicit drugs,773.0,715.0,58.0,,744.0,29.0,
Europe,Eastern Europe,Belarus,Offences related to drug use and/or drug possession,2019,All illicit drugs,1579.0,1489.0,90.0,,1554.0,25.0,
Europe,Eastern Europe,Belarus,Offences related to drug trafficking,2019,All illicit drugs,695.0,644.0,51.0,,664.0,31.0,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2019,All illicit drugs,41847.0,37252.0,3433.0,,38106.0,3741.0,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2019,Cannabis-type,30404.0,27418.0,2121.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2019,Opioids,1045.0,877.0,112.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2019,Cocaine-type,3301.0,2844.0,357.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2019,ATS,3857.0,3154.0,607.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2019,Hallucinogens,143.0,121.0,21.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2019,Other substances not under int. control,303.0,234.0,61.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2019,Plant-based NPS,3.0,3.0,0.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2019,All illicit drugs,12183.0,10501.0,1148.0,,11062.0,1121.0,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2019,Cannabis-type,7601.0,6621.0,676.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2019,Opioids,905.0,765.0,85.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2019,Cocaine-type,2844.0,2451.0,259.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2019,ATS,1507.0,1210.0,245.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2019,Hallucinogens,109.0,89.0,15.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2019,Other substances not under int. control,134.0,110.0,22.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2019,Plant-based NPS,12.0,8.0,1.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2017,All illicit drugs,36499.0,33500.0,2999.0,,34463.0,3201.0,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2017,Cannabis-type,27902.0,25937.0,1965.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2017,Opioids,1009.0,873.0,136.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2017,Cocaine salts,2891.0,2574.0,317.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2017,ATS,3220.0,2709.0,511.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2017,Hallucinogens,105.0,95.0,10.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2017,GHB,311.0,248.0,63.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2017,Plant-based NPS,4.0,4.0,0.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2017,All illicit drugs,10879.0,9819.0,1060.0,,10463.0,874.0,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2017,Cannabis-type,6876.0,6241.0,635.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2017,Opioids,918.0,809.0,109.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2017,Cocaine salts,2341.0,2138.0,203.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2017,ATS,1323.0,1125.0,198.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2017,Hallucinogens,107.0,95.0,12.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2017,GHB,136.0,113.0,26.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2017,Plant-based NPS,7.0,7.0,0.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2018,All illicit drugs,39857.0,35233.0,3427.0,,36317.0,3540.0,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2018,Cannabis-type,28945.0,25978.0,2063.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2018,Opioids,1022.0,853.0,116.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2018,Cocaine-type,3360.0,2852.0,411.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2018,ATS,3604.0,2922.0,600.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2018,Hallucinogens,138.0,117.0,19.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2018,GHB,310.0,238.0,61.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2018,Plant-based NPS,5.0,5.0,0.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2018,All illicit drugs,11918.0,10276.0,1141.0,,10927.0,991.0,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2018,Cannabis-type,7387.0,6425.0,668.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2018,Opioids,973.0,806.0,98.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2018,Cocaine-type,2821.0,2390.0,277.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2018,ATS,1452.0,1194.0,210.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2018,GHB,136.0,99.0,33.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2018,Plant-based NPS,24.0,17.0,5.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2018,Hallucinogens,115.0,93.0,19.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2015,All illicit drugs,32373.0,28669.0,2694.0,,29070.0,3303.0,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2015,Cannabis-type,25328.0,22784.0,1769.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2015,Opioids,1342.0,1160.0,179.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2015,Cocaine salts,2235.0,1894.0,278.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2015,ATS,2941.0,2364.0,507.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2015,Hallucinogens,135.0,122.0,9.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2015,GHB,295.0,245.0,43.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2015,Plant-based NPS,2.0,1.0,1.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2015,All illicit drugs,10958.0,9483.0,1079.0,,10162.0,796.0,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2015,Cannabis-type,6519.0,5646.0,668.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2015,Opioids,996.0,842.0,86.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2015,Cocaine-type,1928.0,1677.0,158.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2015,ATS,1420.0,1195.0,182.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2015,Hallucinogens,109.0,94.0,13.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2015,GHB,133.0,111.0,20.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2015,Plant-based NPS,18.0,15.0,3.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2014,All illicit drugs,32626.0,30023.0,2603.0,,30421.0,3793.0,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2014,Cannabis-type,26460.0,24677.0,1783.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2014,Opioids,1209.0,1064.0,145.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2014,Cocaine-type,2573.0,2283.0,290.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2014,ATS,3088.0,2621.0,467.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2014,Hallucinogens,269.0,233.0,36.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2014,GHB,309.0,263.0,46.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2014,All illicit drugs,10463.0,9461.0,1002.0,,10190.0,794.0,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2014,Cannabis-type,6261.0,5709.0,552.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2014,Opioids,1105.0,985.0,120.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2014,Cocaine-type,1901.0,1726.0,175.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2014,ATS,1354.0,1163.0,191.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2014,Hallucinogens,69.0,60.0,9.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2014,GHB,167.0,146.0,21.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2016,All illicit drugs,35089.0,31228.0,2806.0,,31795.0,3294.0,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2016,Cannabis-type,26280.0,23691.0,1802.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2016,Opioids,1190.0,984.0,142.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2016,Cocaine-type,2266.0,1947.0,258.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2016,ATS,2956.0,2420.0,466.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2016,Hallucinogens,117.0,105.0,12.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2016,GHB,298.0,232.0,57.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2016,Plant-based NPS,3.0,3.0,0.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2016,All illicit drugs,11932.0,10406.0,1084.0,,11030.0,902.0,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2016,Cannabis-type,6994.0,6141.0,608.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2016,Opioids,1076.0,930.0,101.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2016,Cocaine-type,2392.0,2113.0,184.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2016,ATS,1401.0,1151.0,210.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2016,Hallucinogens,109.0,91.0,15.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2016,GHB,151.0,120.0,27.0,,,,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2016,Plant-based NPS,22.0,19.0,2.0,,,,
Africa,West and Central Africa,Benin,Offences related to drug trafficking,2014,All illicit drugs,130.0,,,,,,
Africa,West and Central Africa,Benin,Offences related to drug trafficking,2015,All illicit drugs,110.0,,,,,,
Africa,West and Central Africa,Benin,Offences related to drug trafficking,2016,All illicit drugs,86.0,,,,,,
Africa,West and Central Africa,Benin,Offences related to drug trafficking,2017,All illicit drugs,95.0,,,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2018,All illicit drugs,1787.0,1564.0,223.0,,1226.0,561.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2018,Cannabis-type,1539.0,1371.0,168.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2018,Cocaine-type,248.0,193.0,55.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2018,All illicit drugs,1749.0,1412.0,337.0,,1700.0,49.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2018,Cannabis-type,652.0,561.0,91.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2018,Cocaine-type,1097.0,851.0,246.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2014,All illicit drugs,1042.0,876.0,166.0,,866.0,176.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2014,Cannabis-type,682.0,610.0,72.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2014,Cocaine-type,360.0,266.0,94.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2014,All illicit drugs,1666.0,1303.0,363.0,,1593.0,73.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2014,Cannabis-type,529.0,455.0,74.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2014,Cocaine-type,1137.0,848.0,289.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2015,All illicit drugs,1112.0,953.0,159.0,,871.0,241.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2015,Cannabis-type,737.0,675.0,62.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2015,Cocaine-type,375.0,278.0,97.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2015,All illicit drugs,1279.0,1051.0,228.0,,1208.0,71.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2015,Cannabis-type,406.0,359.0,47.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2015,Cocaine-type,802.0,624.0,178.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2017,All illicit drugs,1494.0,1304.0,190.0,,1114.0,380.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2017,Cannabis-type,1259.0,1122.0,137.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2017,Cocaine (salt and crack),235.0,182.0,53.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2017,All illicit drugs,1759.0,1465.0,294.0,,1661.0,98.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2017,Cannabis-type,802.0,704.0,98.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2017,Cocaine (salt and crack),957.0,761.0,196.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2016,All illicit drugs,1495.0,1300.0,195.0,,1177.0,318.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2016,Cannabis-type,1152.0,1034.0,118.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2016,Cocaine-type,343.0,266.0,77.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2016,All illicit drugs,1223.0,955.0,268.0,,1144.0,79.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2016,Cannabis-type,521.0,446.0,75.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2016,Cocaine-type,702.0,509.0,193.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2019,All illicit drugs,1711.0,1456.0,255.0,,1291.0,420.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2019,Cannabis-type,1290.0,1137.0,153.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2019,Cocaine-type,421.0,319.0,102.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2019,All illicit drugs,1455.0,1159.0,296.0,,1399.0,56.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2019,Cannabis-type,512.0,432.0,80.0,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2019,Cocaine-type,943.0,727.0,216.0,,,,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug use and/or drug possession,2019,All illicit drugs,27.0,26.0,1.0,,27.0,,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug use and/or drug possession,2015,All illicit drugs,223.0,,,,,,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug trafficking,2014,All illicit drugs,1641.0,,,,,,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug use and/or drug possession,2017,All illicit drugs,478.0,465.0,12.0,,459.0,19.0,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug use and/or drug possession,2017,Cannabis-type,241.0,240.0,2.0,,,,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug use and/or drug possession,2017,Opioids,2.0,2.0,,,,,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug use and/or drug possession,2017,ATS,33.0,32.0,1.0,,,,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug use and/or drug possession,2017,Hallucinogens,30.0,26.0,4.0,,,,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug trafficking,2017,All illicit drugs,319.0,312.0,6.0,,302.0,17.0,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug trafficking,2017,Cannabis-type,171.0,171.0,,,,,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug trafficking,2017,Opioids,3.0,3.0,,,,,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug trafficking,2017,ATS,19.0,19.0,,,,,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug trafficking,2017,Hallucinogens,7.0,7.0,,,,,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Offences related to drug trafficking,2017,Cocaine-type,3.0,2.0,1.0,,,,
Africa,Southern Africa,Botswana,Offences related to drug use and/or drug possession,2014,All illicit drugs,,,,,851.0,19.0,
Africa,Southern Africa,Botswana,Offences related to drug use and/or drug possession,2014,Cannabis-type,870.0,722.0,148.0,,,,
Africa,Southern Africa,Botswana,Offences related to drug use and/or drug possession,2014,Cocaine-type,19.0,18.0,1.0,,,,
Africa,Southern Africa,Botswana,Offences related to drug use and/or drug possession,2014,ATS,1.0,1.0,,,,,
Africa,Southern Africa,Botswana,Offences related to drug use and/or drug possession,2014,Ephedrine,3.0,2.0,1.0,,,,
Americas,South America,Brazil,Offences related to drug use and/or drug possession,2015,All illicit drugs,2793.0,,,,,,
Americas,South America,Brazil,Offences related to drug trafficking,2015,All illicit drugs,3665.0,,,,,,
Americas,South America,Brazil,Offences related to drug use and/or drug possession,2016,All illicit drugs,3870.0,,,,,,
Americas,South America,Brazil,Offences related to drug use and/or drug possession,2017,All illicit drugs,53914.0,48059.0,3961.0,,39882.0,10719.0,
Americas,South America,Brazil,Offences related to drug trafficking,2017,All illicit drugs,95523.0,80215.0,11192.0,,68666.0,20706.0,
Americas,South America,Brazil,Offences related to drug use and/or drug possession,2018,All illicit drugs,72345.0,65316.0,5600.0,,60077.0,12268.0,
Americas,South America,Brazil,Offences related to drug trafficking,2018,All illicit drugs,126040.0,106821.0,14046.0,,100232.0,25808.0,
Americas,South America,Brazil,Offences related to drug use and/or drug possession,2019,All illicit drugs,57667.0,32182.0,3033.0,,29790.0,5355.0,
Americas,South America,Brazil,Offences related to drug trafficking,2019,All illicit drugs,95938.0,34479.0,6311.0,,32913.0,7348.0,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2017,All illicit drugs,772.0,642.0,130.0,,736.0,36.0,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2017,Cannabis-type,35.0,27.0,8.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2017,ATS,717.0,598.0,119.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2017,Other substances not under int. control,4.0,3.0,1.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2017,Other substances not under int. control,16.0,14.0,2.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2017,All illicit drugs,71.0,54.0,17.0,,67.0,4.0,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2017,Cannabis-type,7.0,6.0,1.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2017,ATS,51.0,37.0,14.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2017,Other substances not under int. control,1.0,1.0,0.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2017,Other substances not under int. control,12.0,10.0,2.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2015,All illicit drugs,636.0,532.0,104.0,,611.0,25.0,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2015,Cannabis-type,31.0,18.0,13.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2015,ATS,596.0,507.0,89.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2015,Ketamine and phencyclidine-type substances,2.0,2.0,0.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2015,Ecstasy-type substances,2.0,1.0,1.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2015,Other miscellaneous,5.0,4.0,1.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2015,All illicit drugs,58.0,46.0,12.0,,58.0,0.0,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2015,Cannabis-type,11.0,8.0,3.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2015,ATS,45.0,37.0,8.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2015,Other miscellaneous,2.0,1.0,1.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2016,Ketamine and phencyclidine-type substances,,,,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2016,Ecstasy-type substances,,,,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2016,All illicit drugs,641.0,559.0,82.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2016,Cannabis-type,43.0,,,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2016,ATS,581.0,,,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2014,All illicit drugs,610.0,517.0,93.0,,576.0,34.0,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2014,Cannabis-type,38.0,34.0,4.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2014,ATS,519.0,440.0,79.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2014,Ketamine and phencyclidine-type substances,9.0,7.0,2.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2014,Ecstasy-type substances,4.0,2.0,2.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2014,Other miscellaneous,5.0,5.0,0.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2014,All illicit drugs,60.0,51.0,9.0,,58.0,2.0,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2014,Cannabis-type,10.0,10.0,0.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2014,ATS,51.0,42.0,9.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2014,Ketamine and phencyclidine-type substances,8.0,6.0,2.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2014,Ecstasy-type substances,3.0,2.0,1.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2014,Other miscellaneous,4.0,4.0,0.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,All illicit drugs,698.0,579.0,119.0,,663.0,35.0,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,Cannabis-type,26.0,19.0,7.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,ATS,621.0,518.0,103.0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,Hallucinogens,3.0,1.0,2.0,,,,
