CANNABIS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Spain,9.5,,,13.3,5.6,2015,15-64,ARQ,HHS,,
,,Spain,9.2,,,12.9,5.4,2013,15-64,ARQ,HHS,,
,,Spain,9.6,,,13.6,5.5,2011,15-64,ARQ,HHS,,
,,Spain,10.6,,,14.8,6.2,2009,15-64,ARQ ,HHS ,,
,,Sweden,3.8,,,5,2.5,2020,16-64,ARQ,HHS,,
,,Sweden,3.9,,,5.2,2.4,2018,16-64,ARQ,HHS,,
,,Sweden,3.4,,,4.1,2.6,2016,16-64,ARQ,HHS,,
,,Sweden,3.2,,,4.1,2.3,2015,16-64,ARQ,HHS,,
,,Sweden,2.88,,,4.1,1.63,2014,15-64,ARQ,HHS,,
,,Sweden,3.16,,,4.35,1.86,2013,17-64,ARQ,HHS,,
,,Sweden,3,,,,,2012,16-64,ARQ,HHS,,
,,Sweden,2.61,,,,,2011,16-64,ARQ,HHS,,
,,Sweden,2.8,,,,,2010,16-64,ARQ ,HHS ,,
,,Switzerland,9.09,,,,,2016,15-64,Government source,HHS,a,
,,Switzerland,8.09,,,,,2015,15-64,ARQ,HHS,,
,,Switzerland,6.7,,,9.3,4.2,2014,15-64,ARQ,HHS,,
,,Switzerland,5.7,,,7.8,3.7,2013,15-64,ARQ,HHS,,
,,Switzerland,6.3,,,,,2012,15+,ARQ,HHS,,
,,Switzerland,5.1,,,,,2011,15-64,ARQ,HHS,,
,,Switzerland,3.4,,,,,2008,15-64,ARQ ,HHS ,,
,,United Kingdom (England and Wales),7.15,,,9.07,5.26,2019,16-64,ARQ,HHS,,Data refers to 2019/20. Office for National Statistics (ONS)
,,United Kingdom (England and Wales),7.6,,,10.28,5,2018,16-59,Government source,HHS,,Data refers to 2018/19. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),7.18,,,9.55,4.82,2017,16-59,Government source,HHS,,Data refers to 2017/18. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),6.6,,,8.99,4.23,2016,16-59,Government source,HHS,,Data refers to 2016/17. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),6.47,,,9.14,3.85,2015,16-59,Government source,HHS,,Data refers to 2015/16. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),6.69,,,9.43,4.02,2014,16-59,Government source,HHS,,Data refers to 2014/15. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),6.59,,,9.11,4.1,2013,16-59,Government source,HHS,,Data refers to 2013/14. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),6.29,,,8.51,4.08,2012,16-59,Government source,HHS,,Data refers to 2012/13. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),6.8,,,9.53,4.1,2011,16-59,Government source,HHS,,Data refers to 2011/12. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),6.7,,,9.15,4.29,2010,16-59,Government source ,HHS ,,Data refers to 2010/11. Crime Survey for England and Wales.
,,United Kingdom (Northern Ireland),4.6,,,,,2014,15-64,Government source,HHS,,Data refers to 2014/15
,,United Kingdom (Northern Ireland),5.1,,,,,2011,15-64,Government source,HHS,,Data refers to 2010/11
,,United Kingdom (Northern Ireland),7.2,,,,,2006,15-64,Government source ,HHS ,,
,,United Kingdom (Scotland),6.29,,,9,3.68,2014,16-64,Government source,HHS,,Data refers to 2014/15
,,United Kingdom (Scotland),6.5,,,9.5,3.6,2013,16-64,Government source,HHS,,Data refers to 2012/13
,,United Kingdom (Scotland),7,,,,,2011,16-64,Government source,HHS,,Data refers to 2010/11
,,United Kingdom (Scotland),7.6,,,,,2010,16-64,Government source ,HHS ,,Data refers to 2009/10
Oceania,Australia and New Zealand,Australia,11.6,,,14.7,8.6,2019,14+,ARQ,HHS,,
,,Australia,10.4,,,13.1,7.9,2016,14+,ARQ,HHS,,
,,Australia,10.2,,,12.8,7.6,2013,14+,ARQ,HHS,,
,,Australia,10.3,,,,,2010,14+,ARQ,HHS,,
,,Australia,10.6,,,,,2007,15-64,Government source ,HHS ,,
,,New Zealand,15,,,19,11,2020,18+,ARQ,HHS,,Data for 2019-20.
,,New Zealand,15,,,19.9,10.3,2019,15+,ARQ,HHS,,Data for 2018-19.
,,New Zealand,11.9,,,15.7,8.4,2018,15+,Government source,HHS,,Data for 2017-18.
,,New Zealand,14.03,,,18.55,9.61,2017,15-64,Government source,HHS,a,Data for 2016-17.
,,New Zealand,13.73,,,17.9,9.66,2016,15-64,Government source,HHS,a,Data for 2015-16.
,,New Zealand,11,10.3,11.7,14.3,7.9,2013,15+,Government source,HHS,,2012/13 New Zealand Health Survey: Drug Module
,,New Zealand,14.6,13.4,15.7,18.2,11.3,2008,16-64,Government source,HHS,,2007/08 New Zealand Alcohol and Drug Use Survey
,,New Zealand,14.6,,,,,2007,16-64,Government source,HHS,,
,,New Zealand,13.25,,,,,2006,15-64,ARQ ,HHS ,a ,
,Melanesia,Fiji,5.08,3.04,7.12,,,2004,15-64,Government source,SS,"d, e",
"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.

Method: HHS=Household survey, SS=School survey, A=Adjusted from other sources, I=Indirect estimates, R=Registry. 

UNODC Adjustments: a=adjusted for age (15-64), b=population-based/household-type study/survey, c=adjusted from a limited geographic population-based study/survey, d=adjusted from school/youth survey, e=adjusted from lifetime/monthly prevalence adjusted to annual prevalence, f=adjusted from specialized population surveys (including Rapid Assessments), g=adjusted from treatment data, h=adjusted from drug registries, i=adjusted from HIV, problematic drug users (only for heroin), j=lifetime prevalence reported, x=figure may include non-medical use of prescription opioids, z=figures may also include other non-ATS stimulants, z*= figures include the use of prescription stimulants, (non-prescription/non-therapeutic use). 

The 'Method' and 'Adjustment/notes' columns have been completed only for more recent data included in previous and present issues of the World Drug Report. ",,,,,,,,,,,,,
